,date,arrivals,departures
414,2020-02-19,296,296
415,2020-02-20,297,297
416,2020-02-21,298,298
417,2020-02-22,300,299
418,2020-02-23,300,300
419,2020-02-24,300,299
420,2020-02-25,299,300
421,2020-02-26,302,301
422,2020-02-27,302,301
423,2020-02-28,303,302
424,2020-02-29,304,304
425,2020-03-01,305,303
426,2020-03-02,305,303
427,2020-03-03,306,303
428,2020-03-04,303,301
429,2020-03-05,302,300
430,2020-03-06,300,300
431,2020-03-07,297,296
432,2020-03-08,295,294
433,2020-03-09,286,285
434,2020-03-10,278,278
435,2020-03-11,269,270
436,2020-03-12,258,260
437,2020-03-13,249,249
438,2020-03-14,240,242
439,2020-03-15,227,230
440,2020-03-16,217,219
441,2020-03-17,203,205
442,2020-03-18,188,189
443,2020-03-19,173,173
444,2020-03-20,156,158
445,2020-03-21,126,125
446,2020-03-22,99,99
447,2020-03-23,78,78
448,2020-03-24,59,60
449,2020-03-25,44,45
450,2020-03-26,28,29
451,2020-03-27,15,14
452,2020-03-28,14,14
453,2020-03-29,14,15
454,2020-03-30,15,15
455,2020-03-31,16,16
456,2020-04-01,15,16
457,2020-04-02,15,15
458,2020-04-03,15,16
459,2020-04-04,16,16
460,2020-04-05,16,16
461,2020-04-06,16,16
462,2020-04-07,17,16
463,2020-04-08,16,15
464,2020-04-09,17,17
465,2020-04-10,18,16
466,2020-04-11,19,18
467,2020-04-12,20,19
468,2020-04-13,22,20
469,2020-04-14,23,21
470,2020-04-15,25,22
471,2020-04-16,26,23
472,2020-04-17,27,24
473,2020-04-18,27,24
474,2020-04-19,28,25
475,2020-04-20,28,25
476,2020-04-21,29,27
477,2020-04-22,28,27
478,2020-04-23,28,27
479,2020-04-24,28,27
480,2020-04-25,28,26
481,2020-04-26,28,26
482,2020-04-27,29,27
483,2020-04-28,28,26
484,2020-04-29,28,27
485,2020-04-30,28,27
486,2020-05-01,28,26
487,2020-05-02,28,28
488,2020-05-03,28,28
489,2020-05-04,26,26
490,2020-05-05,26,24
491,2020-05-06,24,23
492,2020-05-07,25,24
493,2020-05-08,25,25
494,2020-05-09,25,24
495,2020-05-10,26,25
496,2020-05-11,27,26
497,2020-05-12,28,27
498,2020-05-13,29,28
499,2020-05-14,28,28
500,2020-05-15,29,28
501,2020-05-16,30,29
502,2020-05-17,29,28
503,2020-05-18,29,28
504,2020-05-19,28,27
505,2020-05-20,29,27
506,2020-05-21,28,27
507,2020-05-22,28,28
508,2020-05-23,27,27
509,2020-05-24,28,27
510,2020-05-25,28,28
511,2020-05-26,29,28
512,2020-05-27,28,27
513,2020-05-28,27,27
514,2020-05-29,25,25
515,2020-05-30,27,26
516,2020-05-31,29,29
517,2020-06-01,33,33
518,2020-06-02,40,39
519,2020-06-03,47,46
520,2020-06-04,52,51
521,2020-06-05,59,57
522,2020-06-06,66,65
523,2020-06-07,71,70
524,2020-06-08,74,72
525,2020-06-09,76,73
526,2020-06-10,79,76
527,2020-06-11,82,79
528,2020-06-12,84,83
529,2020-06-13,86,84
530,2020-06-14,87,85
531,2020-06-15,89,87
532,2020-06-16,89,88
533,2020-06-17,88,87
534,2020-06-18,89,87
535,2020-06-19,87,86
536,2020-06-20,85,85
537,2020-06-21,82,82
538,2020-06-22,80,81
539,2020-06-23,77,79
540,2020-06-24,78,79
541,2020-06-25,77,80
542,2020-06-26,77,79
543,2020-06-27,78,79
544,2020-06-28,81,82
545,2020-06-29,84,83
546,2020-06-30,87,86
547,2020-07-01,91,90
548,2020-07-02,94,94
549,2020-07-03,98,97
550,2020-07-04,102,103
551,2020-07-05,104,105
552,2020-07-06,106,106
553,2020-07-07,109,108
554,2020-07-08,108,108
555,2020-07-09,110,109
556,2020-07-10,109,109
557,2020-07-11,109,108
558,2020-07-12,109,108
559,2020-07-13,111,109
560,2020-07-14,112,111
561,2020-07-15,114,112
562,2020-07-16,115,113
563,2020-07-17,118,115
564,2020-07-18,120,118
565,2020-07-19,121,120
566,2020-07-20,124,122
567,2020-07-21,125,123
568,2020-07-22,126,124
569,2020-07-23,126,124
570,2020-07-24,125,124
571,2020-07-25,126,123
572,2020-07-26,127,124
573,2020-07-27,126,123
574,2020-07-28,126,124
575,2020-07-29,126,124
576,2020-07-30,127,124
577,2020-07-31,126,123
578,2020-08-01,123,122
579,2020-08-02,122,120
580,2020-08-03,120,118
581,2020-08-04,119,117
582,2020-08-05,116,115
583,2020-08-06,115,115
584,2020-08-07,118,118
585,2020-08-08,120,120
586,2020-08-09,122,122
587,2020-08-10,123,123
588,2020-08-11,123,123
589,2020-08-12,126,126
590,2020-08-13,126,127
591,2020-08-14,126,127
